angFreq,12h,24h,48h,72h,96h,12h,24h,48h,72h,96h,,,,,
0.01,3.01202728147194,8.72069,3.29159,2.37479,0.01171622,1.03866,2.73498,0.404156,0.763334,0.00934075,2.89991650922529,3.18857541919868,8.14435514999159,3.11107588552325,1.25431255520167
0.015849,3.59201252773665,9.88222,3.2713,2.61963,0.01312454,1.38693,2.94848,0.402348,0.683799,0.00915182,2.58990181749378,3.35163202734969,8.13052382514639,3.83099419566276,1.43409070545531
0.0251189,3.77736514666423,10.5991,3.2896,2.73463,0.01333648,1.50588,2.68379,0.452899,0.702095,0.00820683,2.50841046209806,3.94930303786809,7.26342959467784,3.894957235132,1.62504645520865
0.0398107,4.24158,11.3131,3.3891,2.79354,0.01353422,1.70208,2.56929,0.38821,0.719342,0.00901591,2.49199802594473,4.40320088429099,8.73006877720821,3.88346572284115,1.5011485252182
0.0630957,4.90479,11.9706,3.43965,2.87234,0.0140825,1.80578,2.06268,0.34948,0.764842,0.00799088,2.71616143716289,5.80342079236721,9.84219411697379,3.75546844969288,1.76232154656308
0.1,5.42273,12.8018,3.54916,3.06019,0.0136722,2.08188,2.12606,0.345332,0.772274,0.00895809,2.60472745787461,6.02137286812226,10.2775300290735,3.9625702794604,1.52624052671942
0.15849,6.12904,12.37,3.68837,3.10798,0.01510534,2.32201,1.75923,0.418794,0.754205,0.00799034,2.63954074271859,7.03148536575661,8.8071223560987,4.12086899450415,1.89045021863901
0.251189,6.76039,12.6883,3.85075,3.28121,0.01454804,2.70238,2.2268,0.486111,0.819931,0.0116086,2.50164299617374,5.6979971259206,7.92154466778164,4.00181234762437,1.25321227365918
0.398107,7.58987,13.4361,3.91686,3.50644,0.01561408,2.7697,2.36687,0.486487,0.922995,0.0196397,2.74032205654042,5.6767376324006,8.05131483472323,3.79898049285207,0.795026400606934
0.630957,8.38562,14.1029,4.08595,3.61865,0.01621188,3.1435,2.20653,0.510686,0.973978,0.0145252,2.66760617146493,6.39143814042864,8.00090466548917,3.71533032573631,1.11612094842068
1,9.28596,14.5536,4.23289,3.76238,0.01479574,3.61768,2.55379,0.607288,1.09525,0.0188299,2.56682735897039,5.69882410065041,6.97015254706169,3.43517918283497,0.785757757608909
1.5849,10.3558,15.069,4.32618,3.9281158627361,0.0110024717588575,4.19525,2.60262,0.639096,1.21966,0.0223221,2.46845837554377,5.7899347580515,6.76921777010027,3.22066466288646,0.492895908487888
2.51189,11.5523,15.7802,4.483,3.9281158627361,0.00519392103879485,4.86551,2.81304,0.739827,1.39561,0.0296249,2.3743245826234,5.60966072291898,6.05952472672665,2.81462289804179,0.175322820964623
3.98105,12.9021,16.191,4.56927,4.02818912099021,0.00143432282438005,5.66527,3.2421,0.814451,1.57568,0.0385542,2.27740248920175,4.9939853798464,5.61024542912956,2.5564766456325,0.0372027645335669
6.30957,14.5651,16.8863,4.57823,3.48324784179234,5.05406685227723E-4,6.71671,3.66794,0.930607,1.81711,0.0486203,2.16848725045446,4.60375578662683,4.91961698117465,1.91691633516537,0.0103949725778681
10.0001,16.4039,17.2029,4.2829,1.42005760004754,1.79832737468009E-4,7.86706,4.428,1.06385,2.10928,0.0819917,2.0851372685603,3.885027100271,4.02584950885933,0.67324281273588,0.00219330416942214
15.849,18.4827,16.889,3.41428,0.0201121221755758,3.9609419341787E-4,9.24578,5.30072,1.26392,2.49305,0.109333,1.99904172498156,3.18617093526917,2.70134185707956,0.550917303521173,0.00362282378987012
25.1188,20.8934,15.1212,0.0679562,0.006,4.63857325893838E-5,10.8202,6.01502,1.66619,2.75274,0.595242,1.93096245910427,2.51390685317755,1.34716105183528,0.226269809187738,7.79275195456366E-5
39.8105,21.0378,8.67815,0.00264477946230053,5.78088534103606E-4,2.58441590281227E-5,12.7905,9.51545,2.42166,3.15306,0.509294,1.64479887416442,0.912006263497785,1.31729530262334,-0.634304453451568,5.07450687188984E-5
63.0957,22.3286,0.0120999777569591,9.80693724067522E-5,2.09763997166422E-4,-0.0556214540585786,16.6869,8.67796,2.58296,3.16224,1.06437749081192,1.33809155684998,-1.210987374913,0.810453958969507,-0.632463064157053,-0.0522572626147421
100,22.6637541152384,9.80693724067522E-5,-70.1472,-2,-0.83845941834381,27.0665,-2.22331,-5.66627,22.1316,2.27679695251789,0.837335973075146,0.491227460001568,0.356523222723237,-0.0903685228361257,-0.368262711093567
